band_name,min_freq/GHz,max_freq/GHz
HF,0.003 ,0.030 
VHF,0.030 ,0.300 
UHF,0.300 ,1.000 
L,1.000 ,2.000 
S,2.000 ,4.000 
C,4.000 ,8.000 
X,8.000 ,12.000 
Ku,12.000 ,18.000 
K,18.000 ,27.000 
Ka,27.000 ,40.000 
V,40.000 ,75.000 
W,75.000 ,110.000 
G,110.000 ,300.000 
