Surface,Reflectivity,HeightDeviation/m,RmsSlope,FractionOfClutterFromUnmovingSources
Mountains,0.32,100,0.1,0.9
Urban,0.32,10,0.1,0.9
WoodedHills,0.1,10,0.05,0
RollingHills,0.063,10,0.05,0.3
FarmlandAndDesert,0.032,3,0.03,0.5
Flatland,0.01,1,0.02,0.5
SmoothSurface,0.0032,0.3,0.01,0
